Order Date,Region,Category,Sales,Profit,Month-Year
2014-11-14,Central,Office Supplies,230.376,-48.9549,2014-11
2014-05-29,South,Furniture,301.96,33.2156,2014-05
2014-10-27,Central,Technology,19.99,6.7966,2014-10
2014-10-27,Central,Office Supplies,6.16,2.9568,2014-10
2013-04-06,Central,Office Supplies,158.368,13.8572,2013-04
2013-09-18,West,Office Supplies,20.1,6.633,2013-09
2013-09-18,West,Technology,73.584,8.2782,2013-09
2013-09-18,West,Office Supplies,6.48,3.1104,2013-09
2012-01-31,Central,Office Supplies,12.96,6.2208,2012-01
2012-01-31,Central,Furniture,53.34,16.5354,2012-01
2012-01-31,Central,Office Supplies,32.96,16.1504,2012-01
2014-11-07,West,Office Supplies,5.682,-3.788,2014-11
2014-11-10,East,Furniture,96.53,40.5426,2014-11
2014-06-18,West,Office Supplies,51.312,17.9592,2014-06
2013-09-07,Central,Office Supplies,77.88,22.5852,2013-09
2013-08-30,Central,Office Supplies,64.624,22.6184,2013-08
2013-08-30,Central,Technology,95.976,-10.7973,2013-08
2013-08-30,Central,Office Supplies,1.788,-3.0396,2013-08
2013-12-02,Central,Office Supplies,23.92,11.7208,2013-12
2012-11-13,West,Technology,238.896,-26.8758,2012-11
2012-11-13,West,Furniture,102.36,-3.8385,2012-11
2012-11-13,West,Office Supplies,36.882,-25.8174,2012-11
2014-11-24,South,Technology,74.112,17.6016,2014-11
2014-11-24,South,Technology,27.992,2.0994,2014-11
2014-11-24,South,Office Supplies,3.304,1.0738,2014-11
2012-10-15,Central,Technology,339.96,67.992,2012-10
2014-12-26,East,Furniture,41.96,10.9096,2014-12
2013-11-04,Central,Office Supplies,75.96,22.788,2013-11
2013-11-04,Central,Office Supplies,27.24,13.3476,2013-11
2011-08-25,East,Office Supplies,40.096,14.5348,2011-08
2011-08-25,East,Office Supplies,4.72,1.652,2011-08
2011-08-25,East,Office Supplies,23.976,7.4925,2011-08
2011-08-25,East,Office Supplies,130.464,44.0316,2011-08
2012-03-02,West,Furniture,787.53,165.3813,2012-03
2012-04-05,South,Office Supplies,157.794,-115.7156,2012-04
2013-06-13,East,Furniture,47.04,18.3456,2013-06
2013-06-13,East,Office Supplies,30.84,13.878,2013-06
2013-06-13,East,Office Supplies,226.56,63.4368,2013-06
2013-06-13,East,Office Supplies,115.02,51.759,2013-06
2013-06-13,East,Technology,68.04,19.7316,2013-06
2011-12-26,Central,Furniture,600.558,-8.5794,2011-12
2011-09-20,Central,Furniture,617.7,-407.682,2011-09
2014-11-06,West,Office Supplies,2.388,-1.8308,2014-11
2014-11-06,West,Office Supplies,243.992,30.499,2014-11
2013-11-07,West,Furniture,81.424,-9.1602,2013-11
2013-11-07,West,Furniture,238.56,26.2416,2013-11
2014-02-03,East,Technology,59.97,-11.994,2014-02
2014-02-03,East,Office Supplies,78.304,29.364,2014-02
2014-02-03,East,Office Supplies,21.456,6.9732,2014-02
2013-10-14,West,Office Supplies,20.04,9.6192,2013-10
2013-10-14,West,Office Supplies,35.44,16.6568,2013-10
2013-10-14,West,Office Supplies,11.52,3.456,2013-10
2013-10-14,West,Office Supplies,4.02,1.9698,2013-10
2013-10-14,West,Office Supplies,76.176,26.6616,2013-10
2013-10-14,West,Office Supplies,65.88,18.4464,2013-10
2013-10-14,West,Furniture,43.12,20.6976,2013-10
2013-09-06,East,Furniture,82.8,10.35,2013-09
2014-09-19,West,Office Supplies,8.82,2.3814,2014-09
2014-09-19,West,Office Supplies,10.86,5.1042,2014-09
2014-09-19,West,Office Supplies,143.7,68.976,2014-09
2014-12-23,Central,Office Supplies,839.43,218.2518,2014-12
2012-09-07,West,Office Supplies,671.93,20.1579,2012-09
2011-10-22,East,Furniture,93.888,12.9096,2011-10
2013-12-06,Central,Technology,384.45,103.8015,2013-12
2013-12-06,Central,Technology,149.97,5.9988,2013-12
2013-12-06,Central,Furniture,1951.84,585.552,2013-12
2013-12-06,Central,Office Supplies,171.55,80.6285,2013-12
2013-03-14,West,Office Supplies,157.92,17.766,2013-03
2013-03-14,West,Technology,203.184,15.2388,2013-03
2012-05-31,West,Office Supplies,58.38,26.271,2012-05
2012-05-31,West,Office Supplies,105.52,48.5392,2012-05
2012-05-31,West,Office Supplies,80.88,21.0288,2012-05
2012-05-28,West,Office Supplies,6.63,1.7901,2012-05
2011-03-01,West,Furniture,457.568,51.4764,2011-03
2013-11-21,Central,Office Supplies,14.62,6.8714,2013-11
2013-11-21,Central,Technology,944.93,236.2325,2013-11
2013-05-12,West,Office Supplies,5.98,2.691,2013-05
2012-12-28,East,Technology,54.384,1.3596,2012-12
2013-11-17,West,Office Supplies,28.4,13.348,2013-11
2013-11-08,West,Office Supplies,27.68,9.688,2013-11
2011-09-08,Central,Office Supplies,9.936,2.7324,2011-09
2011-09-08,Central,Technology,8159.952,-1359.992,2011-09
2011-09-08,Central,Office Supplies,275.928,-58.6347,2011-09
2011-09-08,Central,Furniture,1740.06,-24.858,2011-09
2011-09-08,Central,Office Supplies,32.064,6.8136,2011-09
2011-09-08,Central,Office Supplies,177.98,-453.849,2011-09
2011-09-08,Central,Technology,143.976,8.9985,2011-09
2011-08-05,West,Office Supplies,20.94,9.8418,2011-08
2011-08-05,West,Office Supplies,110.96,53.2608,2011-08
2011-08-05,West,Furniture,340.144,21.259,2011-08
2011-09-14,Central,Office Supplies,52.448,-131.12,2011-09
2011-09-14,Central,Office Supplies,20.16,6.552,2011-09
2014-04-22,Central,Office Supplies,97.264,-243.16,2014-04
2012-11-21,East,Furniture,396.802,-11.3372,2012-11
2012-11-21,East,Office Supplies,15.88,-3.7715,2012-11
2012-12-15,East,Office Supplies,3.28,1.4104,2012-12
2011-12-05,Central,Office Supplies,24.816,1.8612,2011-12
2011-12-05,Central,Technology,408.744,76.6395,2011-12
2011-11-19,South,Technology,503.96,131.0296,2011-11
2011-11-19,South,Technology,149.95,41.986,2011-11
2011-11-19,South,Technology,29.0,7.25,2011-11
2013-11-29,East,Office Supplies,7.16,3.4368,2013-11
2011-08-26,West,Technology,176.8,22.984,2011-08
2013-07-17,Central,Office Supplies,37.224,3.7224,2013-07
2013-07-17,Central,Office Supplies,20.016,6.255,2013-07
2012-10-12,East,Furniture,899.136,112.392,2012-10
2012-10-12,East,Technology,71.76,20.0928,2012-10
2012-10-12,East,Office Supplies,51.84,24.8832,2012-10
2012-10-12,East,Furniture,626.352,46.9764,2012-10
2012-10-12,East,Office Supplies,19.9,6.567,2012-10
2012-10-31,West,Office Supplies,14.28,6.7116,2012-10
2011-03-21,East,Office Supplies,7.408,1.2038,2011-03
2011-03-21,East,Office Supplies,6.048,1.5876,2011-03
2014-11-07,East,Office Supplies,46.26,12.0276,2014-11
2014-07-07,East,Office Supplies,2.946,-2.2586,2014-07
2014-07-07,East,Office Supplies,16.056,5.8203,2014-07
2014-06-25,East,Office Supplies,21.744,6.795,2014-06
2011-08-03,West,Furniture,218.75,-161.875,2011-08
2011-08-03,West,Office Supplies,2.6,0.2925,2011-08
2014-12-18,Central,Office Supplies,66.284,-178.9668,2014-12
2014-06-04,South,Furniture,35.168,9.6712,2014-06
2014-12-10,West,Technology,444.768,44.4768,2014-12
2014-12-02,Central,Office Supplies,83.92,5.8744,2014-12
2014-12-02,Central,Technology,131.98,35.6346,2014-12
2014-12-02,Central,Office Supplies,15.92,7.4824,2014-12
2014-12-02,Central,Office Supplies,52.29,16.2099,2014-12
2014-12-02,Central,Office Supplies,91.99,3.6796,2014-12
2012-02-09,Central,Technology,20.8,6.5,2012-02
2012-01-02,East,Office Supplies,23.68,8.88,2012-01
2012-01-02,East,Furniture,452.45,-244.323,2012-01
2012-01-02,East,Technology,62.982,-14.6958,2012-01
2012-01-02,East,Technology,1188.0,-950.4,2012-01
2012-01-02,East,Technology,89.584,4.4792,2012-01
2013-10-29,West,Office Supplies,93.06,26.0568,2013-10
2013-10-29,West,Technology,302.376,22.6782,2013-10
2012-12-24,East,Office Supplies,5.584,1.8148,2012-12
2012-12-24,East,Office Supplies,22.704,8.2302,2012-12
2012-12-24,East,Office Supplies,19.776,-13.8432,2012-12
2012-12-24,East,Furniture,72.704,19.0848,2012-12
2012-12-24,East,Technology,479.988,-383.9904,2012-12
2012-12-24,East,Office Supplies,27.168,2.7168,2012-12
2012-08-09,Central,Office Supplies,2.2,0.968,2012-08
2012-08-09,Central,Furniture,622.45,136.939,2012-08
2012-08-09,Central,Office Supplies,21.98,0.2198,2012-08
2012-02-28,South,Furniture,161.568,-28.2744,2012-02
2012-02-28,South,Furniture,389.696,43.8408,2012-02
2011-09-13,South,Office Supplies,18.648,-12.432,2011-09
2014-04-08,South,Furniture,233.86,-102.048,2014-04
2014-04-08,South,Furniture,620.6145,-248.2458,2014-04
2014-04-08,South,Office Supplies,5.328,-3.552,2014-04
2014-04-08,South,Furniture,258.072,0.0,2014-04
2014-04-08,South,Technology,617.976,-7.7247,2014-04
2014-11-13,West,Office Supplies,10.56,4.752,2014-11
2013-06-05,Central,Office Supplies,25.92,9.396,2013-06
2013-06-05,Central,Furniture,419.68,-356.728,2013-06
2013-06-05,Central,Furniture,11.688,-4.6752,2013-06
2013-06-05,Central,Technology,31.984,11.1944,2013-06
2013-06-05,Central,Furniture,177.225,-120.513,2013-06
2013-06-05,Central,Furniture,4.044,-2.8308,2013-06
2013-06-05,Central,Office Supplies,7.408,1.2038,2013-06
2011-06-01,Central,Furniture,2001.86,580.5394,2011-06
2011-06-01,Central,Office Supplies,166.72,41.68,2011-06
2011-06-01,Central,Office Supplies,47.88,23.94,2011-06
2011-06-01,Central,Office Supplies,1503.25,496.0725,2011-06
2011-06-01,Central,Office Supplies,25.92,12.4416,2011-06
2013-12-11,West,Furniture,321.568,28.1372,2013-12
2013-09-12,West,Office Supplies,7.61,3.5767,2013-09
2013-09-12,West,Technology,3347.37,636.0003,2013-09
2013-12-11,East,Office Supplies,80.58,22.5624,2013-12
2013-12-11,East,Office Supplies,361.92,162.864,2013-12
2012-11-28,Central,Furniture,12.132,-8.4924,2012-11
2012-11-28,Central,Office Supplies,82.368,-19.5624,2012-11
2012-11-28,Central,Office Supplies,53.92,4.044,2012-11
2012-11-28,Central,Technology,647.904,56.6916,2012-11
2014-12-02,East,Technology,20.37,6.9258,2014-12
2014-12-02,East,Office Supplies,221.55,6.6465,2014-12
2014-12-02,East,Office Supplies,17.52,6.132,2014-12
2014-06-09,Central,Office Supplies,1.624,-4.466,2014-06
2011-09-19,Central,Technology,3059.982,-509.997,2011-09
2011-09-19,Central,Technology,2519.958,-251.9958,2011-09
2013-06-07,Central,Technology,328.224,28.7196,2013-06
2012-11-10,West,Technology,79.9,35.156,2012-11
2014-06-17,South,Office Supplies,14.016,4.7304,2014-06
2013-01-22,East,Office Supplies,7.56,0.3024,2013-01
2014-12-10,East,Office Supplies,37.208,-7.4416,2014-12
2014-12-10,East,Office Supplies,57.576,21.591,2014-12
2014-12-29,West,Office Supplies,725.84,210.4936,2014-12
2012-07-30,West,Technology,209.93,92.3692,2012-07
2012-07-30,West,Furniture,5.28,2.3232,2012-07
2012-07-30,West,Office Supplies,10.92,4.095,2012-07
2014-09-17,West,Office Supplies,8.82,4.0572,2014-09
2014-09-17,West,Office Supplies,5.98,1.5548,2014-09
2014-10-14,East,Office Supplies,11.648,4.0768,2014-10
2014-10-14,East,Office Supplies,18.176,5.9072,2014-10
2014-10-14,East,Office Supplies,59.712,5.9712,2014-10
2014-10-14,East,Office Supplies,24.84,8.694,2014-10
2012-09-26,Central,Office Supplies,2.08,-3.432,2012-09
2012-09-26,Central,Technology,1114.4,376.11,2012-09
2012-11-02,West,Furniture,1038.84,51.942,2012-11
2012-09-26,West,Office Supplies,141.76,47.844,2012-09
2012-09-26,West,Technology,239.8,47.96,2012-09
2012-09-26,West,Office Supplies,31.104,10.8864,2012-09
2013-12-19,South,Office Supplies,254.058,-169.372,2013-12
2013-12-19,South,Office Supplies,194.528,24.316,2013-12
2013-12-19,South,Office Supplies,961.48,-204.3145,2013-12
2013-11-21,East,Office Supplies,19.096,6.6836,2013-11
2013-11-21,East,Office Supplies,18.496,6.2424,2013-11
2013-11-21,East,Technology,255.984,54.3966,2013-11
2013-11-21,East,Furniture,86.97,-48.7032,2013-11
2011-12-26,West,Furniture,300.416,78.8592,2011-12
2011-12-26,West,Furniture,230.352,20.1558,2011-12
2011-12-26,West,Furniture,218.352,-24.5646,2011-12
2011-12-26,West,Office Supplies,78.6,-62.88,2011-12
2011-12-26,West,Office Supplies,27.552,9.2988,2011-12
2013-10-29,East,Office Supplies,32.4,15.552,2013-10
2013-10-29,East,Office Supplies,1082.48,10.8248,2013-10
2013-10-29,East,Office Supplies,56.91,27.3168,2013-10
2013-10-29,East,Furniture,77.6,38.024,2013-10
2013-10-29,East,Office Supplies,14.28,6.5688,2013-10
2014-11-20,Central,Furniture,219.075,-131.445,2014-11
2012-05-04,East,Furniture,26.8,12.864,2012-05
2011-12-30,Central,Office Supplies,9.84,2.8536,2011-12
2011-06-01,East,Office Supplies,45.48,20.9208,2011-06
2011-06-01,East,Office Supplies,289.2,83.868,2011-06
2014-04-16,South,Office Supplies,4.89,2.0049,2014-04
2013-09-13,West,Furniture,15.136,3.5948,2013-09
2013-09-13,West,Furniture,466.768,52.5114,2013-09
2013-09-13,West,Furniture,15.232,1.7136,2013-09
2013-09-13,West,Office Supplies,6.264,2.0358,2013-09
2011-09-27,East,Furniture,87.54,37.6422,2011-09
2011-08-09,South,Technology,178.384,22.298,2011-08
2011-08-09,South,Office Supplies,15.552,5.4432,2011-08
2011-12-28,East,Office Supplies,99.136,8.6744,2011-12
2011-11-04,East,Furniture,135.882,24.1568,2011-11
2011-11-04,East,Technology,3991.98,1995.99,2011-11
2011-11-04,East,Technology,275.94,80.0226,2011-11
2011-11-04,East,Technology,360.0,129.6,2011-11
2011-11-04,East,Office Supplies,43.57,13.071,2011-11
2011-09-19,West,Office Supplies,7.16,3.58,2011-09
2013-04-24,West,Office Supplies,251.52,81.744,2013-04
2013-04-24,West,Technology,99.99,34.9965,2013-04
2014-11-04,South,Furniture,15.992,0.9995,2014-11
2013-08-31,East,Technology,290.898,-67.8762,2013-08
2013-08-31,East,Office Supplies,54.224,3.389,2013-08
2013-08-31,East,Furniture,786.744,-258.5016,2013-08
2013-08-31,East,Office Supplies,100.24,33.831,2013-08
2013-08-31,East,Office Supplies,37.764,-27.6936,2013-08
2013-04-26,East,Technology,82.8,-20.7,2013-04
2013-04-26,East,Office Supplies,20.724,-13.816,2013-04
2013-04-26,East,Office Supplies,4.896,-3.4272,2013-04
2012-09-01,West,Office Supplies,4.752,1.6038,2012-09
2012-09-01,West,Technology,959.984,335.9944,2012-09
2012-09-01,West,Office Supplies,14.368,4.49,2012-09
2011-07-12,West,Office Supplies,7.712,2.7956,2011-07
2011-07-12,West,Furniture,698.352,-17.4588,2011-07
2012-06-22,West,Office Supplies,4.96,2.3312,2012-06
2011-04-13,East,Office Supplies,17.856,1.116,2011-04
2011-04-13,East,Office Supplies,509.97,-407.976,2011-04
2011-04-13,East,Office Supplies,30.992,10.0724,2011-04
2011-04-13,East,Technology,71.928,8.3916,2011-04
2012-12-20,Central,Office Supplies,88.8,-2.22,2012-12
2014-06-16,West,Technology,47.976,4.7976,2014-06
2014-07-09,East,Office Supplies,7.56,3.0996,2014-07
2014-07-09,East,Office Supplies,24.56,11.5432,2014-07
2014-07-09,East,Office Supplies,12.96,4.1472,2014-07
2013-09-02,East,Technology,6.79,2.3086,2013-09
2013-09-02,East,Office Supplies,24.56,11.5432,2013-09
2013-09-02,East,Office Supplies,3.048,1.0668,2013-09
2013-09-02,East,Office Supplies,49.12,23.0864,2013-09
2013-09-02,East,Office Supplies,4355.168,1415.4296,2013-09
2013-04-09,East,Furniture,388.704,-4.8588,2013-04
2013-04-09,East,Office Supplies,8.26,3.7996,2013-04
2013-04-09,East,Office Supplies,17.04,6.9864,2013-04
2013-04-09,East,Office Supplies,34.4,15.824,2013-04
2013-04-24,South,Office Supplies,36.24,11.325,2013-04
2014-03-09,South,Office Supplies,647.84,168.4384,2014-03
2014-03-09,South,Office Supplies,20.7,9.936,2014-03
2014-09-26,East,Office Supplies,20.7,9.936,2014-09
2014-09-26,East,Furniture,488.646,86.8704,2014-09
2014-09-26,East,Office Supplies,5.56,1.4456,2014-09
2014-09-26,East,Furniture,47.12,20.7328,2014-09
2011-09-24,West,Office Supplies,211.96,8.4784,2011-09
2013-10-22,East,Office Supplies,23.2,10.44,2013-10
2013-10-22,East,Office Supplies,7.36,0.1472,2013-10
2013-10-22,East,Office Supplies,104.79,29.3412,2013-10
2013-10-22,East,Furniture,1043.92,271.4192,2013-10
2014-05-30,Central,Office Supplies,25.92,9.396,2014-05
2014-05-30,Central,Office Supplies,53.424,4.6746,2014-05
2011-07-23,West,Office Supplies,8.16,-5.712,2011-07
2011-07-23,West,Technology,1023.936,179.1888,2011-07
2011-07-23,West,Office Supplies,9.24,0.924,2011-07
2011-07-23,West,Technology,479.04,-29.94,2011-07
2013-09-29,Central,Office Supplies,99.136,30.98,2013-09
2014-08-28,East,Furniture,1488.424,-297.6848,2014-08
2012-04-28,Central,Office Supplies,8.652,-20.3322,2012-04
2012-04-28,Central,Office Supplies,23.832,2.6811,2012-04
2012-04-28,Central,Office Supplies,12.176,-18.8728,2012-04
2013-10-29,West,Office Supplies,50.96,25.48,2013-10
2013-10-29,West,Office Supplies,49.536,17.3376,2013-10
2012-06-26,Central,Technology,41.9,8.799,2012-06
2012-11-27,South,Furniture,375.4575,-157.0095,2012-11
2012-11-27,South,Technology,83.976,-1.0497,2012-11
2012-12-03,East,Technology,482.34,-337.638,2012-12
2012-12-03,East,Furniture,2.96,0.777,2012-12
2011-11-24,East,Office Supplies,2.624,0.4264,2011-11
2014-12-12,East,Office Supplies,23.36,7.884,2014-12
2014-12-12,East,Technology,39.98,13.5932,2014-12
2011-09-21,West,Technology,246.384,27.7182,2011-09
2011-09-21,West,Technology,1799.97,701.9883,2011-09
2011-06-07,Central,Office Supplies,12.462,-20.5623,2011-06
2014-07-01,West,Office Supplies,75.792,25.5798,2014-07
2014-10-18,East,Office Supplies,49.96,9.4924,2014-10
2014-10-18,East,Office Supplies,12.96,6.2208,2014-10
2012-10-31,Central,Office Supplies,70.12,21.036,2012-10
2013-09-09,Central,Office Supplies,35.952,3.5952,2013-09
2013-09-09,Central,Furniture,2396.2656,-317.1528,2013-09
2013-09-09,Central,Office Supplies,131.136,-32.784,2013-09
2013-09-09,Central,Technology,57.584,0.7198,2013-09
2011-12-24,South,Office Supplies,9.568,3.4684,2011-12
2011-04-16,South,Office Supplies,39.072,9.768,2011-04
2014-12-25,East,Office Supplies,35.91,9.6957,2014-12
2014-12-09,West,Technology,179.95,37.7895,2014-12
2014-12-09,West,Technology,1199.976,434.9913,2014-12
2014-12-09,West,Office Supplies,27.15,13.3035,2014-12
2014-12-09,West,Furniture,1004.024,-112.9527,2014-12
2014-12-09,West,Office Supplies,9.68,4.6464,2014-12
2014-12-09,West,Office Supplies,28.35,13.608,2014-12
2014-12-09,West,Office Supplies,55.98,27.4302,2014-12
2014-12-09,West,Furniture,1336.829,31.4548,2014-12
2014-12-09,West,Furniture,113.568,-18.4548,2014-12
2014-11-04,West,Office Supplies,139.86,65.7342,2014-11
2014-11-04,West,Furniture,307.136,26.8744,2014-11
2014-06-25,West,Office Supplies,95.92,25.8984,2014-06
2013-04-15,West,Furniture,383.8,38.38,2013-04
2014-11-07,South,Office Supplies,5.78,2.8322,2014-11
2014-03-05,West,Office Supplies,9.32,2.7028,2014-03
2014-03-05,West,Office Supplies,15.25,7.015,2014-03
2011-06-22,West,Technology,196.752,56.5662,2011-06
2014-10-20,East,Furniture,56.56,14.7056,2014-10
2014-10-20,East,Office Supplies,32.7,8.502,2014-10
2014-08-22,South,Furniture,866.4,225.264,2014-08
2014-11-24,Central,Furniture,28.4,11.076,2014-11
2014-11-24,Central,Office Supplies,287.92,138.2016,2014-11
2011-09-12,East,Technology,69.99,30.0957,2011-09
2014-10-02,Central,Office Supplies,6.672,0.5004,2014-10
2013-04-16,South,Office Supplies,189.588,-145.3508,2013-04
2013-04-16,South,Technology,408.744,76.6395,2013-04
2013-04-16,South,Technology,291.96,54.7425,2013-04
2013-04-16,South,Office Supplies,4.768,-0.7748,2013-04
2013-06-07,East,Office Supplies,714.3,207.147,2013-06
2011-12-19,South,Office Supplies,4.812,-3.6892,2011-12
2011-12-19,South,Technology,247.8,-18.585,2011-12
2013-06-13,Central,Technology,1007.979,43.1991,2013-06
2013-06-13,Central,Office Supplies,313.488,113.6394,2013-06
2014-09-16,Central,Office Supplies,31.872,11.5536,2014-09
2014-01-21,East,Furniture,207.846,2.3094,2014-01
2013-09-06,Central,Furniture,12.22,3.666,2013-09
2013-09-06,Central,Office Supplies,194.94,23.3928,2013-09
2013-09-06,Central,Office Supplies,70.95,20.5755,2013-09
2013-09-06,Central,Office Supplies,91.36,42.0256,2013-09
2013-09-06,Central,Furniture,242.94,29.1528,2013-09
2013-09-06,Central,Office Supplies,22.05,10.584,2013-09
2014-03-21,Central,Furniture,2.91,1.3677,2014-03
2013-04-02,East,Office Supplies,59.52,15.4752,2013-04
2013-04-02,East,Office Supplies,161.94,9.7164,2013-04
2013-04-02,East,Office Supplies,263.88,71.2476,2013-04
2013-04-02,East,Office Supplies,30.48,7.9248,2013-04
2013-04-02,East,Office Supplies,9.84,2.8536,2013-04
2013-04-02,East,Technology,35.12,9.1312,2013-04
2014-10-21,East,Furniture,284.364,-75.8304,2014-10
2014-10-21,East,Office Supplies,665.408,66.5408,2014-10
2013-12-14,Central,Technology,63.88,24.9132,2013-12
2011-02-13,West,Furniture,129.568,-24.294,2011-02
2013-09-27,Central,Furniture,747.558,-96.1146,2013-09
2013-09-27,Central,Office Supplies,8.928,3.348,2013-09
2012-12-15,West,Office Supplies,103.92,36.372,2012-12
2012-12-15,West,Technology,899.91,377.9622,2012-12
2012-12-15,West,Office Supplies,51.312,18.6006,2012-12
2013-04-23,West,Furniture,23.56,7.068,2013-04
2013-04-23,West,Furniture,1272.63,-814.4832,2013-04
2013-04-23,West,Office Supplies,28.485,-20.889,2013-04
2013-04-23,West,Office Supplies,185.376,-34.758,2013-04
2013-04-23,West,Office Supplies,78.272,5.8704,2013-04
2012-01-17,Central,Furniture,254.744,-312.0614,2012-01
2014-04-01,Central,Furniture,205.3328,-36.2352,2014-04
2013-12-17,Central,Office Supplies,4.788,-7.9002,2013-12
2012-12-20,East,Office Supplies,55.48,26.6304,2012-12
2011-11-09,West,Office Supplies,340.92,3.4092,2011-11
2011-11-09,West,Furniture,222.666,10.4784,2011-11
2011-11-09,West,Technology,703.968,87.996,2011-11
2011-11-09,West,Office Supplies,92.52,24.9804,2011-11
2011-11-09,West,Office Supplies,62.65,28.819,2011-11
